solid,label,vol_old,vol_new,dVolume,pct,dFaces,dCentroid_mm
0,F10257043--_1-2416 Lead Brick_001,2097544.192,2097337.423,-206.769,-0.0099,0,0.0025
1,F10256760--_1-248 Lead Brick_001,1048772.096,1045819.398,-2952.698,-0.2815,0,0.0715
2,F10256760--_1-248 Lead Brick_002,1048772.096,1048720.335,-51.761,-0.0049,0,0.0025
4,F10256760--_1-248 Lead Brick_004,1048772.096,1047762.267,-1009.829,-0.0963,0,0.0221
5,F10256760--_1-248 Lead Brick_005,1048772.096,1048720.335,-51.761,-0.0049,0,0.0025
6,F10258742--_1-Top Al sq walls_001,5530347.591,5433781.371,-96566.22,-1.7461,0,0.1663
9,F10258530--_1-Left Cu Inner Sq_001,1327456.148,1325545.653,-1910.494,-0.1439,0,0.1082
10,F10256760--_1-248 Lead Brick_007,1048772.096,1045286.691,-3485.405,-0.3323,0,0.1638
12,F10256760--_1-248 Lead Brick_009,1048772.096,1045286.691,-3485.405,-0.3323,0,0.1638
13,F10258498--_1-Poly Front Outer_001,4964771.376,4956599.795,-8171.581,-0.1646,0,0.0209
15,F10256760--_1-248 Lead Brick_011,1048772.096,1048494.7,-277.396,-0.0264,0,0.0134
16,F10257043--_1-2416 Lead Brick_003,2097544.192,2097337.423,-206.769,-0.0099,0,0.0025
17,F10256760--_1-248 Lead Brick_012,1048772.096,1048529.73,-242.366,-0.0231,0,0.0117
19,F10256760--_1-248 Lead Brick_013,1048772.096,1047762.267,-1009.829,-0.0963,0,0.0221
20,F10256760--_1-248 Lead Brick_014,1048772.096,1048668.573,-103.523,-0.0099,0,0.0
22,F10256760--_1-248 Lead Brick_016,1048772.096,1047871.658,-900.438,-0.0859,0,0.0823
24,F10268506--_1-Poly Lead Block_001,432618.49,432410.442,-208.047,-0.0481,0,0.0134
25,F10256760--_1-248 Lead Brick_017,1048772.096,1048668.573,-103.523,-0.0099,0,0.0
26,F10256760--_1-248 Lead Brick_018,1048772.096,1047819.938,-952.158,-0.0908,0,0.0822
28,F10258640--_1-BASE PLATE MACHINING_001,33794222.734,33779987.418,-14235.316,-0.0421,0,0.0053
30,F10256760--_1-248 Lead Brick_020,1048772.096,1048477.969,-294.127,-0.028,0,0.0092
32,F10257043--_1-2416 Lead Brick_004,2097544.192,2076408.222,-21135.97,-1.0077,0,0.153
33,F10256760--_1-248 Lead Brick_022,1048772.096,1044303.297,-4468.799,-0.4261,0,0.1082
35,F10256760--_1-248 Lead Brick_023,1048772.096,1044303.297,-4468.799,-0.4261,0,0.1082
36,F10256760--_1-248 Lead Brick_024,1048772.096,1044303.297,-4468.799,-0.4261,0,0.1082
37,F10257043--_1-2416 Lead Brick_006,2097544.192,2089079.652,-8464.54,-0.4035,0,0.1025
38,F10256760--_1-248 Lead Brick_025,1048772.096,1044303.297,-4468.799,-0.4261,0,0.1082
39,F10257043--_1-2416 Lead Brick_007,2097544.192,2089079.652,-8464.54,-0.4035,0,0.1025
40,F10257043--_1-2416 Lead Brick_008,2097544.192,2068028.975,-29515.217,-1.4071,0,0.1841
41,F10256760--_1-248 Lead Brick_026,1048772.096,1044303.297,-4468.799,-0.4261,0,0.1082
42,F10256760--_1-248 Lead Brick_027,1048772.096,1044303.297,-4468.799,-0.4261,0,0.1082
43,F10257205--_1-SSC Hole Lead L_001,1891618.272,1874896.379,-16721.893,-0.884,0,0.2822
46,F10256760--_1-248 Lead Brick_029,1048772.096,1044277.458,-4494.638,-0.4286,0,0.1083
47,F10258954--_1-Steel SCC Blocks_001,2588898.048,2568224.288,-20673.76,-0.7986,0,0.3324
48,F10256760--_1-248 Lead Brick_030,1048772.096,1044091.781,-4680.315,-0.4463,0,0.1134
49,F10256760--_1-248 Lead Brick_031,1048772.096,1044091.781,-4680.315,-0.4463,0,0.1134
51,F10256760--_1-248 Lead Brick_033,1048772.096,1044091.781,-4680.315,-0.4463,0,0.1134
54,F10256760--_1-248 Lead Brick_036,1048772.096,1043876.606,-4895.49,-0.4668,0,0.1153
55,F10256760--_1-248 Lead Brick_037,1048772.096,1038204.111,-10567.985,-1.0077,0,0.153
56,F10256760--_1-248 Lead Brick_038,1048772.096,1044091.781,-4680.315,-0.4463,0,0.1134
57,F10257043--_1-2416 Lead Brick_010,2097544.192,2087338.631,-10205.561,-0.4865,0,0.14
58,F10256760--_1-248 Lead Brick_039,1048772.096,1044539.826,-4232.27,-0.4035,0,0.1025
59,F10256760--_1-248 Lead Brick_040,1048772.096,1034014.487,-14757.609,-1.4071,0,0.1841
60,F10256760--_1-248 Lead Brick_041,1048772.096,1044091.781,-4680.315,-0.4463,0,0.1134
61,F10256760--_1-248 Lead Brick_042,1048772.096,1044091.781,-4680.315,-0.4463,0,0.1134
62,F10256760--_1-248 Lead Brick_043,1048772.096,1044539.826,-4232.27,-0.4035,0,0.1025
63,F10256760--_1-248 Lead Brick_044,1048772.096,1044091.781,-4680.315,-0.4463,0,0.1134
64,F10256760--_1-248 Lead Brick_045,1048772.096,1044003.707,-4768.389,-0.4547,0,0.115
65,F10256760--_1-248 Lead Brick_046,1048772.096,1044091.781,-4680.315,-0.4463,0,0.1134
66,F10256760--_1-248 Lead Brick_047,1048772.096,1044091.781,-4680.315,-0.4463,0,0.1134
67,F10257203--_1-SSC Poly_001,2800035.977,2789741.203,-10294.774,-0.3677,0,0.3367
69,F10257203--_1-SSC Poly_003,2800035.977,2767225.465,-32810.511,-1.1718,0,0.352
70,F10257203--_1-SSC Poly_004,3389757.51,3362399.098,-27358.413,-0.8071,0,0.1025
71,F10259465--_1-Right Edge Poly_001,6487354.843,6487133.274,-221.569,-0.0034,0,0.0062
72,F10256760--_1-248 Lead Brick_048,1048772.096,1048668.573,-103.523,-0.0099,0,0.0
73,F10256760--_1-248 Lead Brick_049,1048772.096,1048668.573,-103.523,-0.0099,0,0.0
74,F10256760--_1-248 Lead Brick_050,1048772.096,1048668.573,-103.523,-0.0099,0,0.0
75,F10256946--_1-Right Cu 6in_001,1140126.752,1115632.018,-24494.734,-2.1484,0,0.1117
76,F10256760--_1-248 Lead Brick_051,1048772.096,1045519.072,-3253.024,-0.3102,0,0.0776
77,F10256760--_1-248 Lead Brick_052,1048772.096,1045519.072,-3253.024,-0.3102,0,0.0776
78,F10256760--_1-248 Lead Brick_053,1048772.096,1044091.781,-4680.315,-0.4463,0,0.1134
79,F10256760--_1-248 Lead Brick_054,1048772.096,1044091.781,-4680.315,-0.4463,0,0.1134
80,F10256760--_1-248 Lead Brick_055,1048772.096,1044091.781,-4680.315,-0.4463,0,0.1134
81,F10256760--_1-248 Lead Brick_056,1048772.096,1044091.781,-4680.315,-0.4463,0,0.1134
82,F10256760--_1-248 Lead Brick_057,1048772.096,1044091.781,-4680.315,-0.4463,0,0.1134
83,F10256760--_1-248 Lead Brick_058,1048772.096,1044091.781,-4680.315,-0.4463,0,0.1134
84,F10256760--_1-248 Lead Brick_059,1048772.096,1044091.781,-4680.315,-0.4463,0,0.1134
85,F10256760--_1-248 Lead Brick_060,1048772.096,1048746.146,-25.95,-0.0025,0,0.0025
86,F10256760--_1-248 Lead Brick_061,1048772.096,1044091.781,-4680.315,-0.4463,0,0.1134
87,F10258520--_1-Bot Square Poly_001,11779754.342,11673973.599,-105780.744,-0.898,0,0.1154
88,F10258520--_1-Bot Square Poly_002,11779754.342,11774144.15,-5610.193,-0.0476,0,0.0223
89,F10256760--_1-248 Lead Brick_062,1048772.096,1048097.175,-674.921,-0.0644,0,0.0163
90,F10256760--_1-248 Lead Brick_063,1048772.096,1048097.175,-674.921,-0.0644,0,0.0163
91,F10256760--_1-248 Lead Brick_064,1048772.096,1048097.175,-674.921,-0.0644,0,0.0163
92,F10256760--_1-248 Lead Brick_065,1048772.096,1048097.175,-674.921,-0.0644,0,0.0163
93,F10256760--_1-248 Lead Brick_066,1048772.096,1048097.175,-674.921,-0.0644,0,0.0163
94,F10256760--_1-248 Lead Brick_067,1048772.096,1044303.297,-4468.799,-0.4261,0,0.1082
95,F10256760--_1-248 Lead Brick_068,1048772.096,1044303.297,-4468.799,-0.4261,0,0.1082
96,F10256760--_1-248 Lead Brick_069,1048772.096,1044303.297,-4468.799,-0.4261,0,0.1082
97,F10256760--_1-248 Lead Brick_070,1048772.096,1044303.297,-4468.799,-0.4261,0,0.1082
98,F10256760--_1-248 Lead Brick_071,1048772.096,1044303.297,-4468.799,-0.4261,0,0.1082
99,F10257043--_1-2416 Lead Brick_011,2097544.192,2087761.492,-9782.7,-0.4664,0,0.1359
100,F10256760--_1-248 Lead Brick_072,1048772.096,1044303.297,-4468.799,-0.4261,0,0.1082
101,F10258500--_1-Poly Front Inner_001,3136438.736,3135174.011,-1264.725,-0.0403,0,0.0822
102,F10256760--_1-248 Lead Brick_073,1048772.096,1048668.573,-103.523,-0.0099,0,0.0
103,F10256760--_1-248 Lead Brick_074,1048772.096,1045819.398,-2952.698,-0.2815,0,0.0715
104,F10256760--_1-248 Lead Brick_075,1048772.096,1045819.398,-2952.698,-0.2815,0,0.0715
105,F10256760--_1-248 Lead Brick_076,1048772.096,1048720.335,-51.761,-0.0049,0,0.0025
106,F10256760--_1-248 Lead Brick_077,1048772.096,1048477.969,-294.127,-0.028,0,0.0092
107,F10256760--_1-248 Lead Brick_078,1048772.096,1045819.398,-2952.698,-0.2815,0,0.0715
108,F10260711--_1-Top Plate Holes_001,5530347.591,5433781.371,-96566.22,-1.7461,0,0.1663
109,F10257043--_1-2416 Lead Brick_012,2097544.192,2097337.423,-206.769,-0.0099,0,0.0025
111,F10258769--_1-Left cu small inner_001,194465.448,193804.682,-660.766,-0.3398,0,0.2339
112,F10256760--_1-248 Lead Brick_080,1048772.096,1048477.969,-294.127,-0.028,0,0.0092
114,F10256760--_1-248 Lead Brick_082,1048772.096,1045819.398,-2952.698,-0.2815,0,0.0715
115,F10256760--_1-248 Lead Brick_083,1048772.096,1047909.002,-863.094,-0.0823,0,0.0209
116,F10256760--_1-248 Lead Brick_084,1048772.096,1048720.335,-51.761,-0.0049,0,0.0025
120,F10256760--_1-248 Lead Brick_086,1048772.096,1045819.398,-2952.698,-0.2815,0,0.0715
121,F10256760--_1-248 Lead Brick_087,1048772.096,1048720.335,-51.761,-0.0049,0,0.0025
122,F10256760--_1-248 Lead Brick_088,1048772.096,1047909.002,-863.094,-0.0823,0,0.0209
123,F10256760--_1-248 Lead Brick_089,1048772.096,1047762.267,-1009.829,-0.0963,0,0.0221
126,F10256760--_1-248 Lead Brick_091,1048772.096,1048720.335,-51.761,-0.0049,0,0.0025
129,F10257043--_1-2416 Lead Brick_013,2097544.192,2097337.423,-206.769,-0.0099,0,0.0025
