shape_id,type,name,material,solid_id,part,x,y,z,nbores,rotY45,orientation,material_match
0,BOX,LeadBrick2x4x16PV,granite gray,0,AI-129669-A_1,-33.696,103.313,-280.683,0,,x->x y->z z->-y,1.0
0,BOX,LeadBrick2x4x16PV,granite gray,7,AI-129842-A_1,-579.015,-32.245,183.274,0,,x->y y->x z->-z,1.0
0,BOX,LeadBrick2x4x16PV,granite gray,16,AI-129762-A_1,-33.696,103.313,-179.083,0,,x->x y->z z->-y,1.0
0,BOX,LeadBrick2x4x16PV,granite gray,32,AI-129611-A_1,-120.928,-101.466,30.95,0,,x->-x y->y z->-z,1.0
0,BOX,LeadBrick2x4x16PV,granite gray,34,AI-129616-A_1,-120.928,101.734,30.95,0,,x->-x y->y z->-z,1.0
0,BOX,LeadBrick2x4x16PV,granite gray,37,AI-129635-A_1,-120.928,203.334,107.35,0,,x->-x y->y z->-z,1.0
0,BOX,LeadBrick2x4x16PV,granite gray,39,AI-129636-A_1,82.272,101.734,107.55,0,,x->-x y->y z->-z,1.0
0,BOX,LeadBrick2x4x16PV,granite gray,40,AI-129761-A_1,82.272,-101.466,107.55,0,,x->-x y->y z->-z,1.0
0,BOX,LeadBrick2x4x16PV,granite gray,45,AI-129647-A_1,82.272,203.334,30.95,0,,x->-x y->y z->-z,1.0
0,BOX,LeadBrick2x4x16PV,granite gray,57,AI-129686-A_1,-45.234,-184.94,260.35,0,,x->x y->-z z->y,1.0
0,BOX,LeadBrick2x4x16PV,granite gray,99,AI-129778-A_1,-45.179,-108.74,260.35,0,,x->x y->-z z->y,1.0
0,BOX,LeadBrick2x4x16PV,granite gray,109,AI-129700-A_1,-33.733,52.513,-280.683,0,,x->x y->z z->-y,1.0
0,BOX,LeadBrick2x4x16PV,granite gray,129,AI-129713-A_1,-33.733,-49.087,-280.683,0,,x->x y->z z->-y,1.0
0,BOX,LeadBrick2x4x16PV,granite gray,138,AI-129654-A_1,-33.733,52.513,-179.083,0,,x->x y->z z->-y,1.0
0,BOX,LeadBrick2x4x16PV,granite gray,177,AI-129656-A_1,-33.77,-99.887,-280.683,0,,x->x y->z z->-y,1.0
0,BOX,LeadBrick2x4x16PV,granite gray,193,AI-129776-A_1,-120.928,101.734,183.35,0,,x->-x y->y z->-z,1.0
0,BOX,LeadBrick2x4x16PV,granite gray,194,AI-129782-A_1,-120.928,-101.466,183.35,0,,x->-x y->y z->-z,1.0
0,BOX,LeadBrick2x4x16PV,granite gray,195,AI-129664-A_1,-33.733,-49.087,-179.083,0,,x->x y->z z->-y,1.0
0,BOX,LeadBrick2x4x16PV,granite gray,203,AI-129816-A_1,-33.77,-99.887,-179.083,0,,x->x y->z z->-y,1.0
0,BOX,LeadBrick2x4x16PV,granite gray,208,AI-129839-A_1,82.272,203.334,183.35,0,,x->-x y->y z->-z,1.0
1,BOX,LeadBrick2x4x8PV,granite gray,1,AI-129804-A_1,-604.922,114.054,539.75,0,,x->-x y->-z z->-y,1.0
1,BOX,LeadBrick2x4x8PV,granite gray,2,AI-129678-A_1,-760.72,-184.347,514.327,0,,x->-z y->y z->x,1.0
1,BOX,LeadBrick2x4x8PV,granite gray,3,AI-129814-A_1,158.278,113.611,311.15,0,,x->-z y->x z->-y,1.0
1,BOX,LeadBrick2x4x8PV,granite gray,4,AI-129818-A_1,-731.615,120.155,183.164,0,,x->x y->y z->z,1.0
1,BOX,LeadBrick2x4x8PV,granite gray,5,AI-129683-A_1,-682.52,-184.404,717.527,0,,x->-z y->y z->x,1.0
1,BOX,LeadBrick2x4x8PV,granite gray,8,AI-129706-A_1,-169.46,1.713,-280.683,0,,x->-x y->z z->y,1.0
1,BOX,LeadBrick2x4x8PV,granite gray,10,AI-129711-A_1,-682.373,18.796,514.327,0,,x->-z y->y z->x,1.0
1,BOX,LeadBrick2x4x8PV,granite gray,11,AI-129714-A_1,-197.722,113.759,666.75,0,,x->-x y->-z z->-y,1.0
1,BOX,LeadBrick2x4x8PV,granite gray,12,AI-129726-A_1,-682.373,18.796,311.127,0,,x->-z y->y z->x,1.0
1,BOX,LeadBrick2x4x8PV,granite gray,14,AI-129739-A_1,5.878,113.611,463.55,0,,x->-x y->-z z->-y,1.0
1,BOX,LeadBrick2x4x8PV,granite gray,15,AI-129629-A_1,-118.616,-23.478,-356.883,0,,x->-y y->-x z->-z,1.0
1,BOX,LeadBrick2x4x8PV,granite gray,17,AI-129639-A_1,-760.499,120.453,514.327,0,,x->-z y->y z->x,1.0
1,BOX,LeadBrick2x4x8PV,granite gray,19,AI-129661-A_1,-426.415,120.155,183.164,0,,x->x y->y z->z,1.0
1,BOX,LeadBrick2x4x8PV,granite gray,20,AI-129802-A_1,-682.446,-82.804,514.327,0,,x->-z y->y z->x,1.0
1,BOX,LeadBrick2x4x8PV,granite gray,21,AI-129807-A_1,-197.722,113.759,260.35,0,,x->-x y->-z z->-y,1.0
1,BOX,LeadBrick2x4x8PV,granite gray,22,AI-129812-A_1,-349.715,-184.645,261.364,0,,x->x y->y z->z,1.0
1,BOX,LeadBrick2x4x8PV,granite gray,25,AI-129694-A_1,-760.646,-82.747,717.527,0,,x->-z y->y z->x,1.0
1,BOX,LeadBrick2x4x8PV,granite gray,26,AI-129699-A_1,-349.715,-83.045,261.364,0,,x->x y->y z->z,1.0
1,BOX,LeadBrick2x4x8PV,granite gray,27,AI-129841-A_1,5.878,113.611,768.35,0,,x->-x y->-z z->-y,1.0
1,BOX,LeadBrick2x4x8PV,granite gray,30,AI-129719-A_1,-760.573,18.853,514.327,0,,x->-z y->y z->x,1.0
1,BOX,LeadBrick2x4x8PV,granite gray,31,AI-129606-A_1,5.878,113.611,666.75,0,,x->-x y->-z z->-y,1.0
1,BOX,LeadBrick2x4x8PV,granite gray,33,AI-129732-A_1,-553.979,-108.445,748.35,0,,x->-x y->-z z->-y,1.0
1,BOX,LeadBrick2x4x8PV,granite gray,35,AI-129736-A_1,-350.379,-108.593,646.75,0,,x->-x y->-z z->-y,1.0
1,BOX,LeadBrick2x4x8PV,granite gray,36,AI-129620-A_1,-553.979,-108.445,646.75,0,,x->-x y->-z z->-y,1.0
1,BOX,LeadBrick2x4x8PV,granite gray,38,AI-129758-A_1,-350.379,-108.593,545.15,0,,x->-x y->-z z->-y,1.0
1,BOX,LeadBrick2x4x8PV,granite gray,41,AI-129638-A_1,-553.979,-108.445,545.15,0,,x->-x y->-z z->-y,1.0
1,BOX,LeadBrick2x4x8PV,granite gray,42,AI-129764-A_1,-350.379,-108.593,443.55,0,,x->-x y->-z z->-y,1.0
1,BOX,LeadBrick2x4x8PV,granite gray,44,AI-129768-A_1,-553.979,-108.445,443.55,0,,x->-x y->-z z->-y,1.0
1,BOX,LeadBrick2x4x8PV,granite gray,46,AI-129771-A_1,-350.379,-108.593,341.95,0,,x->-x y->-z z->-y,1.0
1,BOX,LeadBrick2x4x8PV,granite gray,48,AI-129659-A_1,-299.634,-184.719,392.75,0,,x->z y->-x z->-y,1.0
1,BOX,LeadBrick2x4x8PV,granite gray,49,AI-129789-A_1,-197.634,-185.014,412.75,0,,x->z y->-x z->-y,1.0
1,BOX,LeadBrick2x4x8PV,granite gray,50,AI-129660-A_1,-222.528,203.334,30.95,0,,x->x y->y z->z,1.0
1,BOX,LeadBrick2x4x8PV,granite gray,51,AI-129792-A_1,-554.034,-184.645,748.35,0,,x->-x y->-z z->-y,1.0
1,BOX,LeadBrick2x4x8PV,granite gray,52,AI-129663-A_1,-222.528,0.134,30.95,0,,x->x y->y z->z,1.0
1,BOX,LeadBrick2x4x8PV,granite gray,53,AI-129794-A_1,183.872,101.734,30.95,0,,x->x y->y z->z,1.0
1,BOX,LeadBrick2x4x8PV,granite gray,54,AI-129665-A_1,56.766,-185.088,768.35,0,,x->-x y->-z z->-y,1.0
1,BOX,LeadBrick2x4x8PV,granite gray,55,AI-129798-A_1,183.872,-101.466,30.95,0,,x->x y->y z->z,1.0
1,BOX,LeadBrick2x4x8PV,granite gray,56,AI-129670-A_1,-350.434,-184.793,748.35,0,,x->-x y->-z z->-y,1.0
1,BOX,LeadBrick2x4x8PV,granite gray,58,AI-129822-A_1,-222.528,101.734,107.55,0,,x->x y->y z->z,1.0
1,BOX,LeadBrick2x4x8PV,granite gray,59,AI-129687-A_1,-222.528,-101.466,107.55,0,,x->x y->y z->z,1.0
1,BOX,LeadBrick2x4x8PV,granite gray,60,AI-129824-A_1,-452.034,-184.719,443.55,0,,x->-x y->-z z->-y,1.0
1,BOX,LeadBrick2x4x8PV,granite gray,61,AI-129689-A_1,-452.034,-184.719,341.95,0,,x->x y->z z->-y,1.0
1,BOX,LeadBrick2x4x8PV,granite gray,62,AI-129827-A_1,183.872,203.334,107.55,0,,x->x y->y z->z,1.0
