solid_id,label,material,source,cad_colour
0,F10257043--_1-2416 Lead Brick_001,G4_Pb,label,granite gray
1,F10256760--_1-248 Lead Brick_001,G4_Pb,label,granite gray
2,F10256760--_1-248 Lead Brick_002,G4_Pb,label,granite gray
3,F10256760--_1-248 Lead Brick_003,G4_Pb,label,granite gray
4,F10256760--_1-248 Lead Brick_004,G4_Pb,label,granite gray
5,F10256760--_1-248 Lead Brick_005,G4_Pb,label,granite gray
6,F10258742--_1-Top Al sq walls_001,Al6061,label,medium steel
7,F10257043--_1-2416 Lead Brick_002,G4_Pb,label,granite gray
8,F10256760--_1-248 Lead Brick_006,G4_Pb,label,granite gray
9,F10258530--_1-Left Cu Inner Sq_001,CollCu,label,medium maroon
10,F10256760--_1-248 Lead Brick_007,G4_Pb,label,granite gray
11,F10256760--_1-248 Lead Brick_008,G4_Pb,label,granite gray
12,F10256760--_1-248 Lead Brick_009,G4_Pb,label,granite gray
13,F10258498--_1-Poly Front Outer_001,BP,label+rule,strong ice
14,F10256760--_1-248 Lead Brick_010,G4_Pb,label,granite gray
15,F10256760--_1-248 Lead Brick_011,G4_Pb,label,granite gray
16,F10257043--_1-2416 Lead Brick_003,G4_Pb,label,granite gray
17,F10256760--_1-248 Lead Brick_012,G4_Pb,label,granite gray
18,F10258764--_1-Poly Top Edge_001,BP,label+rule,medium steel
19,F10256760--_1-248 Lead Brick_013,G4_Pb,label,granite gray
20,F10256760--_1-248 Lead Brick_014,G4_Pb,label,granite gray
21,F10256760--_1-248 Lead Brick_015,G4_Pb,label,granite gray
22,F10256760--_1-248 Lead Brick_016,G4_Pb,label,granite gray
23,F10258764--_1-Poly Top Edge_002,BP,label+rule,medium steel
24,F10268506--_1-Poly Lead Block_001,Polyethylene,label+rule,medium steel
25,F10256760--_1-248 Lead Brick_017,G4_Pb,label,granite gray
26,F10256760--_1-248 Lead Brick_018,G4_Pb,label,granite gray
27,F10256760--_1-248 Lead Brick_019,G4_Pb,label,granite gray
28,F10258640--_1-BASE PLATE MACHINING_001,MildSteel,colour,silver gray
29,F10268354--_1-SSC Tungsten Block_001,G4_W_Hayman,label,powder gray
30,F10256760--_1-248 Lead Brick_020,G4_Pb,label,granite gray
31,F10256760--_1-248 Lead Brick_021,G4_Pb,label,granite gray
32,F10257043--_1-2416 Lead Brick_004,G4_Pb,label,granite gray
33,F10256760--_1-248 Lead Brick_022,G4_Pb,label,granite gray
34,F10257043--_1-2416 Lead Brick_005,G4_Pb,label,granite gray
35,F10256760--_1-248 Lead Brick_023,G4_Pb,label,granite gray
36,F10256760--_1-248 Lead Brick_024,G4_Pb,label,granite gray
37,F10257043--_1-2416 Lead Brick_006,G4_Pb,label,granite gray
38,F10256760--_1-248 Lead Brick_025,G4_Pb,label,granite gray
39,F10257043--_1-2416 Lead Brick_007,G4_Pb,label,granite gray
40,F10257043--_1-2416 Lead Brick_008,G4_Pb,label,granite gray
41,F10256760--_1-248 Lead Brick_026,G4_Pb,label,granite gray
42,F10256760--_1-248 Lead Brick_027,G4_Pb,label,granite gray
43,F10257205--_1-SSC Hole Lead L_001,G4_Pb,label,granite gray
44,F10256760--_1-248 Lead Brick_028,G4_Pb,label,granite gray
45,F10257043--_1-2416 Lead Brick_009,G4_Pb,label,granite gray
46,F10256760--_1-248 Lead Brick_029,G4_Pb,label,granite gray
47,F10258954--_1-Steel SCC Blocks_001,Al6061,design,medium steel
48,F10256760--_1-248 Lead Brick_030,G4_Pb,label,granite gray
49,F10256760--_1-248 Lead Brick_031,G4_Pb,label,granite gray
50,F10256760--_1-248 Lead Brick_032,G4_Pb,label,granite gray
51,F10256760--_1-248 Lead Brick_033,G4_Pb,label,granite gray
52,F10256760--_1-248 Lead Brick_034,G4_Pb,label,granite gray
53,F10256760--_1-248 Lead Brick_035,G4_Pb,label,granite gray
54,F10256760--_1-248 Lead Brick_036,G4_Pb,label,granite gray
55,F10256760--_1-248 Lead Brick_037,G4_Pb,label,granite gray
56,F10256760--_1-248 Lead Brick_038,G4_Pb,label,granite gray
57,F10257043--_1-2416 Lead Brick_010,G4_Pb,label,granite gray
58,F10256760--_1-248 Lead Brick_039,G4_Pb,label,granite gray
59,F10256760--_1-248 Lead Brick_040,G4_Pb,label,granite gray
60,F10256760--_1-248 Lead Brick_041,G4_Pb,label,granite gray
61,F10256760--_1-248 Lead Brick_042,G4_Pb,label,granite gray
62,F10256760--_1-248 Lead Brick_043,G4_Pb,label,granite gray
63,F10256760--_1-248 Lead Brick_044,G4_Pb,label,granite gray
64,F10256760--_1-248 Lead Brick_045,G4_Pb,label,granite gray
65,F10256760--_1-248 Lead Brick_046,G4_Pb,label,granite gray
66,F10256760--_1-248 Lead Brick_047,G4_Pb,label,granite gray
67,F10257203--_1-SSC Poly_001,BP,label+rule,medium ice
68,F10257203--_1-SSC Poly_002,BP,label+rule,medium ice
69,F10257203--_1-SSC Poly_003,BP,label+rule,medium ice
70,F10257203--_1-SSC Poly_004,BP,label+rule,medium ice
71,F10259465--_1-Right Edge Poly_001,BP,label+rule,strong ice
72,F10256760--_1-248 Lead Brick_048,G4_Pb,label,granite gray
