solid_id,shape_id,part,x,y,z,r11,r12,r13,r21,r22,r23,r31,r32,r33,orientation,rotY45,volume,material_match
0,0,F10257043--_1-2416 Lead Brick_001,-33.696,103.315,-280.683,-1,0,0,0,0,1,0,1,0,x->-x y->z z->y,,2097337.4,1.0
1,1,F10256760--_1-248 Lead Brick_001,-604.922,113.983,539.75,-1,0,0,0,0,1,0,1,0,x->-x y->z z->y,,1045819.4,0.997
2,1,F10256760--_1-248 Lead Brick_002,-760.72,-184.313,514.327,0,0,-1,0,1,0,1,0,0,x->z y->y z->-x,,1048720.3,1.0
3,1,F10256760--_1-248 Lead Brick_003,158.278,113.611,311.15,0,1,0,0,0,1,1,0,0,x->z y->x z->y,,1048772.1,1.0
4,1,F10256760--_1-248 Lead Brick_004,-731.615,120.163,183.222,1,0,0,0,1,0,0,0,1,x->x y->y z->z,,1047762.3,0.997
5,1,F10256760--_1-248 Lead Brick_005,-682.52,-184.37,717.527,0,0,-1,0,1,0,1,0,0,x->z y->y z->-x,,1048720.3,1.0
6,2,F10258742--_1-Top Al sq walls_001,-248.276,78.669,368.3,1,0,0,0,0,-1,0,1,0,x->x y->z z->-y,,5433781.4,0.983
7,0,F10257043--_1-2416 Lead Brick_002,-579.015,-32.245,183.422,0,-1,0,1,0,0,0,0,1,x->y y->-x z->z,,2097544.2,0.994
8,1,F10256760--_1-248 Lead Brick_006,-169.46,1.713,-280.683,-1,0,0,0,0,1,0,1,0,x->-x y->z z->y,,1048772.1,1.0
9,3,F10258530--_1-Left Cu Inner Sq_001,-639.873,-8.16,704.696,-1.0,9.302098221079549e-34,-3.1199001715442876e-15,-1.7159234103059084e-14,-5.421010862427521e-20,1.0,-0.0,1.0,5.421010862427522e-20,x->-x y->z z->y,yes,1325545.7,0.999
10,1,F10256760--_1-248 Lead Brick_007,-682.373,18.669,514.327,0,0,-1,0,1,0,1,0,0,x->z y->y z->-x,,1045286.7,0.997
11,1,F10256760--_1-248 Lead Brick_008,-197.722,113.759,666.75,-1,0,0,0,0,1,0,1,0,x->-x y->z z->y,,1048772.1,1.0
12,1,F10256760--_1-248 Lead Brick_009,-682.373,18.669,311.127,0,0,-1,0,1,0,1,0,0,x->z y->y z->-x,,1045286.7,0.997
13,4,F10258498--_1-Poly Front Outer_001,-590.715,-32.317,145.117,1,0,0,0,1,0,0,0,1,x->x y->y z->z,,4956599.8,0.987
14,1,F10256760--_1-248 Lead Brick_010,5.878,113.611,463.55,-1,0,0,0,0,1,0,1,0,x->-x y->z z->y,,1048772.1,1.0
15,1,F10256760--_1-248 Lead Brick_011,-118.629,-23.662,-356.883,0,-1,0,1,0,0,0,0,1,x->y y->-x z->z,,1048494.7,0.998
16,0,F10257043--_1-2416 Lead Brick_003,-33.696,103.315,-179.083,-1,0,0,0,0,1,0,1,0,x->-x y->z z->y,,2097337.4,1.0
17,1,F10256760--_1-248 Lead Brick_012,-760.425,120.464,514.327,0,0,-1,0,1,0,1,0,0,x->z y->y z->-x,,1048529.7,0.998
18,5,F10258764--_1-Poly Top Edge_001,-798.894,95.018,514.327,0,0,-1,0,1,0,1,0,0,x->z y->y z->-x,,2359737.2,0.99
19,1,F10256760--_1-248 Lead Brick_013,-426.415,120.163,183.222,1,0,0,0,1,0,0,0,1,x->x y->y z->z,,1047762.3,0.997
20,1,F10256760--_1-248 Lead Brick_014,-682.446,-82.767,514.327,0,0,-1,0,1,0,1,0,0,x->z y->y z->-x,,1048668.6,1.0
21,1,F10256760--_1-248 Lead Brick_015,-197.722,113.759,260.35,-1,0,0,0,0,1,0,1,0,x->-x y->z z->y,,1048772.1,1.0
22,1,F10256760--_1-248 Lead Brick_016,-349.797,-184.647,261.364,1,0,0,0,1,0,0,0,1,x->x y->y z->z,,1047871.7,0.999
23,5,F10258764--_1-Poly Top Edge_002,-721.288,94.976,514.327,0,0,-1,0,1,0,1,0,0,x->z y->y z->-x,,2359737.2,0.961
24,6,F10268506--_1-Poly Lead Block_001,-39.906,1.713,-306.083,0,1,0,0,0,1,1,0,0,x->z y->x z->y,,432410.4,1.0
25,1,F10256760--_1-248 Lead Brick_017,-760.646,-82.71,717.527,0,0,-1,0,1,0,1,0,0,x->z y->y z->-x,,1048668.6,1.0
26,1,F10256760--_1-248 Lead Brick_018,-349.797,-83.045,261.364,1,0,0,0,1,0,0,0,1,x->x y->y z->z,,1047819.9,0.999
27,1,F10256760--_1-248 Lead Brick_019,5.878,113.611,768.35,-1,0,0,0,0,1,0,1,0,x->-x y->z z->y,,1048772.1,1.0
28,7,F10258640--_1-BASE PLATE MACHINING_001,-327.006,-248.582,355.6,-1,0,0,0,0,1,0,1,0,x->-x y->z z->y,,33779987.4,1.0
29,8,F10268354--_1-SSC Tungsten Block_001,-0.035,-0.574,-50.8,1,0,0,0,0,1,0,-1,0,x->x y->-z z->y,,1275375.0,0.998
30,1,F10256760--_1-248 Lead Brick_020,-760.573,18.88,514.327,0,0,-1,0,1,0,1,0,0,x->z y->y z->-x,,1048478.0,1.0
31,1,F10256760--_1-248 Lead Brick_021,5.878,113.611,666.75,-1,0,0,0,0,1,0,1,0,x->-x y->z z->y,,1048772.1,1.0
32,0,F10257043--_1-2416 Lead Brick_004,-120.928,-101.313,30.95,1,0,0,0,1,0,0,0,1,x->x y->y z->z,,2076408.2,0.99
33,1,F10256760--_1-248 Lead Brick_022,-553.979,-108.553,748.35,-1,0,0,0,0,1,0,1,0,x->-x y->z z->y,,1044303.3,0.996
34,0,F10257043--_1-2416 Lead Brick_005,-120.928,101.734,30.95,1,0,0,0,1,0,0,0,1,x->x y->y z->z,,2097544.2,1.0
35,1,F10256760--_1-248 Lead Brick_023,-350.379,-108.701,646.75,-1,0,0,0,0,1,0,1,0,x->-x y->z z->y,,1044303.3,0.996
36,1,F10256760--_1-248 Lead Brick_024,-553.979,-108.553,646.75,-1,0,0,0,0,1,0,1,0,x->-x y->z z->y,,1044303.3,0.996
37,0,F10257043--_1-2416 Lead Brick_006,-120.928,203.334,107.248,1,0,0,0,1,0,0,0,1,x->x y->y z->z,,2089079.7,0.996
38,1,F10256760--_1-248 Lead Brick_025,-350.379,-108.701,545.15,-1,0,0,0,0,1,0,1,0,x->-x y->z z->y,,1044303.3,0.996
39,0,F10257043--_1-2416 Lead Brick_007,82.272,101.734,107.448,1,0,0,0,1,0,0,0,1,x->x y->y z->z,,2089079.7,0.996
40,0,F10257043--_1-2416 Lead Brick_008,82.272,-101.313,107.448,1,0,0,0,1,0,0,0,1,x->x y->y z->z,,2068029.0,0.986
41,1,F10256760--_1-248 Lead Brick_026,-553.979,-108.553,545.15,-1,0,0,0,0,1,0,1,0,x->-x y->z z->y,,1044303.3,0.996
42,1,F10256760--_1-248 Lead Brick_027,-350.379,-108.701,443.55,-1,0,0,0,0,1,0,1,0,x->-x y->z z->y,,1044303.3,0.996
43,9,F10257205--_1-SSC Hole Lead L_001,-120.782,-0.394,107.248,-1,0,0,0,-1,0,0,0,1,x->-x y->-y z->z,,1874896.4,0.989
44,1,F10256760--_1-248 Lead Brick_028,-553.979,-108.445,443.55,-1,0,0,0,0,1,0,1,0,x->-x y->z z->y,,1048772.1,1.0
45,0,F10257043--_1-2416 Lead Brick_009,82.272,203.334,30.95,1,0,0,0,1,0,0,0,1,x->x y->y z->z,,2097544.2,1.0
46,1,F10256760--_1-248 Lead Brick_029,-350.376,-108.701,341.95,-1,0,0,0,0,1,0,1,0,x->-x y->z z->y,,1044277.5,0.996
47,10,F10258954--_1-Steel SCC Blocks_001,209.274,-194.398,107.15,0,1,0,0,0,1,1,0,0,x->z y->x z->y,,2568224.3,0.992
48,1,F10256760--_1-248 Lead Brick_030,-299.634,-184.832,392.75,0,1,0,0,0,1,1,0,0,x->z y->x z->y,,1044091.8,0.996
