shape_id,type,count,name,material,material_hint,material_src,dx,dy,dz,rmin,rmax,nbores,rotY45,in_x,in_y,in_z,cap_area,sweep_len,cap_verts
0,BOX,20,LeadBrick2x4x16PV,granite gray,G4_Pb?,part,406.4,101.6,50.8,,,,,16.0,4.0,2.0,,,
1,BOX,146,LeadBrick2x4x8PV,granite gray,G4_Pb?,part,203.2,101.6,50.8,,,,,8.0,4.0,2.0,,,
2,BOX_HOLE,2,AluminumTopSquareWallPV,medium steel,RackSteel?,part,914.6,317.5,19.05,,,4,,36.008,12.5,0.75,,,
3,PRISM,1,CuLeftInnerSqPV,medium maroon,G4_Cu?,part,,,,,,,yes,,,,8826.171,150.184,4
4,BOX,1,BPFrontOuterPV,strong ice,BP?,part,481.2,406.2,25.4,,,,,18.945,15.992,1.0,,,
5,BOX,4,BPTopEdgePV,medium steel,RackSteel?,part,609.6,152.4,25.4,,,,,24.0,6.0,1.0,,,
6,BOX,1,PolyInsertBlockPV,medium steel,RackSteel?,part,152.4,55.88,50.8,,,,,6.0,2.2,2.0,,,
7,BOX,1,SteelBasePlatePV,silver gray,G4_Al?,part,1435.1,927.1,25.4,,,,,56.5,36.5,1.0,,,
8,BOX_HOLE,1,TungstenSSCBlockPV,powder gray,G4_W?,part,162.56,101.6,81.28,,,4,,6.4,4.0,3.2,,,
9,BOX_HOLE,1,LeadSSCHoleLPV,granite gray,G4_Pb?,part,406.4,101.6,50.8,,,2,,16.0,4.0,2.0,,,
10,BOX,4,AluminumSSCBlocksPV,medium steel,RackSteel?,part,203.2,152.4,83.6,,,,,8.0,6.0,3.291,,,
11,BOX_HOLE,2,BPSSCPanelAPV,medium ice,Polyethylene?,part,609.612,187.482,25.4,,,2,,24.0,7.381,1.0,,,
12,BOX,2,BPSSCPanelBPV,medium ice,Polyethylene?,part,609.612,218.918,25.4,,,,,24.0,8.619,1.0,,,
13,PRISM,1,BPRightEdgePV,strong ice,BP?,part,,,,,,,,,,,255398.948,25.4,6
14,BOX,1,CuRight6inPV,medium maroon,G4_Cu?,part,596.9,150.4,12.7,,,,,23.5,5.921,0.5,,,
15,PRISM,2,BPBottomSquarePV,strong ice,BP?,part,,,,,,,,,,,463744.328,25.173,6
16,BOX,1,BPFrontInnerPV,strong ice,BP?,part,407.8,302.8,25.4,,,,,16.055,11.921,1.0,,,
17,BOX,1,CuLeftSmallInnerPV,medium maroon,G4_Cu?,part,137.7,111.2,12.7,,,,,5.421,4.378,0.5,,,
18,BOX_HOLE,1,PolyBlockPV,medium steel,RackSteel?,part,391.2,238.8,221.2,,,1,,15.402,9.402,8.709,,,
19,PRISM,1,LeadSmallTrianglePV,medium steel,RackSteel?,part,,,,,,,yes,,,,2903.22,152.067,3
20,BOX,1,BPTopFrontEdgePV,medium steel,RackSteel?,part,406.4,101.6,25.4,,,,,16.0,4.0,1.0,,,
21,BOX,3,BPRightLongwallPV,strong ice,BP?,part,609.6,253.9,25.4,,,,,24.0,9.996,1.0,,,
22,PRISM,1,CuBottomCutAPV,medium maroon,G4_Cu?,part,,,,,,,,,,,70590.488,12.016,8
23,PRISM,1,CuBottomCutBPV,medium maroon,G4_Cu?,part,,,,,,,yes,,,,199782.585,12.016,8
24,PRISM_HOLE,1,CuMiddleBack6inAPV,medium maroon,G4_Cu?,part,,,,,,1,yes,,,,1829.765,137.232,4
25,TUBE,1,CuLongPipePV,medium steel,RackSteel?,part,50.8,50.8,489.1,19.05,25.4,,,2.0,2.0,19.256,,,
26,PRISM,1,LeadTopSlatedPV,granite gray,G4_Pb?,part,,,,,,,yes,,,,19342.226,23.4,5
27,PRISM,1,CuMidLeftWallPV,medium maroon,G4_Cu?,part,,,,,,,yes,,,,2334.895,137.232,4
28,PRISM,1,LeadAngled6inPV,medium steel,RackSteel?,part,,,,,,,yes,,,,5161.28,152.184,3
29,PRISM_HOLE,1,LeadMiddleHoleCutPV,granite gray,G4_Pb?,part,,,,,,1,yes,,,,9027.172,101.348,4
30,BOX,2,SteelSmallSSCRPV,silver gray,G4_Al?,part,273.187,110.3,19.05,,,,,10.755,4.343,0.75,,,
31,PRISM,1,LeadMiddleCutPV,granite gray,G4_Pb?,part,,,,,,,yes,,,,19342.226,24.931,5
32,BOX,1,SteelSmallSSCBasePV,silver gray,G4_Al?,part,182.56,110.3,19.05,,,,,7.187,4.343,0.75,,,
33,BOX,1,SteelSmallSSCBottomPV,silver gray,G4_Al?,part,220.66,110.3,12.7,,,,,8.687,4.343,0.5,,,
34,BOX,1,SteelSmallSSCTopPV,medium steel,RackSteel?,part,220.672,110.3,19.05,,,,,8.688,4.343,0.75,,,
35,BOX_HOLE,1,LeadLaBrHolePV,granite gray,G4_Pb?,part,203.2,101.6,50.8,,,1,,8.0,4.0,2.0,,,
36,PRISM,1,CuMiddleSlanted6inPV,medium maroon,G4_Cu?,part,,,,,,,yes,,,,4859.24,137.232,6
37,BOX,1,CuMiddleRight6inPV,medium maroon,G4_Cu?,part,324.8,137.7,12.7,,,,,12.787,5.421,0.5,,,
38,BOX_HOLE,1,CuMiddleBack6inBPV,medium maroon,G4_Cu?,part,201.075,137.7,12.7,,,1,,7.916,5.421,0.5,,,
39,BOX,1,BPTopSquareWallAPV,medium steel,RackSteel?,part,609.6,504.0,25.4,,,,,24.0,19.843,1.0,,,
40,BOX,1,BPTopSquareWallBPV,medium steel,RackSteel?,part,532.1,409.5,25.4,,,,,20.949,16.122,1.0,,,
41,BOX_HOLE,2,LeadSSCHoleRPV,granite gray,G4_Pb?,part,406.4,101.6,50.8,,,2,,16.0,4.0,2.0,,,
42,BOX,1,BPFrontSideSmallPanelPV,medium steel,RackSteel?,part,490.0,152.2,25.4,,,,,19.291,5.992,1.0,,,
43,TUBE,1,CuShortPipePV,medium steel,RackSteel?,part,50.8,50.8,217.0,19.05,25.255,,,2.0,2.0,8.543,,,
44,PRISM_HOLE,1,CuFrontCol6inPV,medium maroon,G4_Cu?,part,,,,,,2,yes,,,,3928.99,137.232,4
45,BOX,1,AluminumShelfPV,medium steel,RackSteel?,part,520.0,430.0,25.4,,,,,20.472,16.929,1.0,,,
